ts	phase	decision	why	evidence	result
2026-08-31T15:08:42Z	frame	figure-it-out outer playbook, hillclimb inner loop after GPUs free	1M plus max decode/prefill/quality is a multi-metric program, not one hillclimb metric, and GLM still owns the GPUs	poteto-mode/playbooks plus verify-deepseek SKILL.md lint-only phase	open
2026-08-31T15:08:42Z	frame	do not copy GLM 327680/4.14GiB as DeepSeek physics	GLM refuse is MLA hybrid pool math. Vision-Exp is CSA/HCA with compress 4/128. Official Spark recipe does not pin max-model-len.	GLM run.sh:94 README:142; vllm recipes DeepSeek-V4-Flash.yaml dgx_spark_gb10 extra_args; this run.sh:57-64	open
2026-08-31T15:08:42Z	frame	will not stop glm53-flash-nvfp4	verify skill and run.sh occupancy guard. Two GPU serves cannot coexist. Stopping GLM is irreversible for that recipe.	docker ps glm53-flash-nvfp4 Up 3h both nodes; run.sh refuse_foreign_serve	open
2026-08-31T15:08:42Z	harness	started eugr/spark-vllm-b12x:latest pull on both Sparks	overlay cannot build without the base. Pull does not need exclusive GPUs.	docker pull both nodes, images were missing	INCONCLUSIVE
2026-08-31T15:10:04Z	harness	added needle_probe.py with DeepSeek thinking-off kwargs and 7200s timeout	window proof must be a rerunnable script, not a flag flip. GLM already had this lever.	.cursor/skills/verify-deepseek-v4-flash-vision/scripts/needle_probe.py dry-run 100000 and 996147 words	dry-run green
2026-08-31T15:10:51Z	harness	pulled eugr/spark-vllm-b12x:latest on spark1 and spark2	same digest on both nodes. Overlay build can start without GPUs.	sha256:7dc02f162929943ba2e14514066ed2a04bb7e9ed3592d4eb460ebcbb1f8376bd	images present
2026-08-31T15:11:20Z	harness	built dsv4-flash-vision-sm121 overlay on both Sparks	plugin wheel identical. GLM still serving so we do not boot.	wheel sha256:f68d32f675349b5c5ab358bdb0764f5e2d5e2c1fb6a86efa02fb2664760e2196 both nodes	images present
2026-08-31T15:15:49Z	boot	stopped glm53-flash-nvfp4 via GLM recipe stop.sh on both nodes	user authorized unload. Used GLM stop.sh so DeepSeek scripts never docker rm GLM.	GLM-5.3-Flash-NVFP4-vLLM-2x-DGX-Spark/stop.sh; docker ps no glm53	GPUs free
2026-08-31T15:16:02Z	boot	first serve: 1M ctx, seqs=8, batched=8192, 26.3GiB KV pin, DSpark-5, FORCE_UNSAFE_CTX=1	official Spark occupancy plus community 1M pin. Recipe refuse still blocks 1M without the override. Load format stays auto.	.run-state/boot-env	open
2026-08-31T15:18:06Z	boot	set overlay ENTRYPOINT to vllm serve	B12X base uses nvidia_entrypoint with no CMD. Passing the snapshot path as argv0 execs a directory. GLM image already has vllm serve as ENTRYPOINT.	docker/Dockerfile.b12x-vision ENTRYPOINT; inspect Entrypoint=["vllm","serve"] both nodes; recipe-lint.py	rebuilt
2026-08-31T15:19:21Z	boot	DSpark-5 rejected: num_speculative_tokens must be divisible by n_predict=3	Vision-Exp config has num_nextn_predict_layers=3 and dspark_block_size=5. B12X SpeculativeConfig requires tokens % 3 == 0. Next boot uses 6.	docker logs SpeculativeConfig ValidationError n_predict=3	reverted
2026-08-31T15:24:09Z	boot	skip hash-layer ffn.gate.bias and all bias_vl in plugin load_weights	B12X maps gate.bias to e_score_correction_bias. Hash layers 0-2 set that param to None and KeyError. bias_vl has no mapper.	docker logs KeyError layers.0.ffn.gate.e_score_correction_bias; dsv4_vision/model.py _skip_unmapped_gate	rebuilt
2026-08-31T15:33:32Z	boot	26.3GiB pin not used on retry. DSpark draft KeyError on bias_vl, not CUDA OOM. Next boot 8GiB KV seqs=2	user asked not to OOM. Host still had 115Gi free after the fail. Draft loader looks up bias_vl. Patch skips it and missing gate params.	dspark.py KeyError model.layers.0.ffn.gate.bias_vl; docker/patch_dspark_skip_bias_vl.py	rebuilt
2026-08-31T15:40:07Z	boot	disable VLLM_USE_B12X_MHC default 0. Keep 8GiB KV and seqs=2	Vision-Exp rms_norm_eps is 1e-20. B12X fused Gram MHC requires 1e-6. Not an OOM. 26.3GiB pin stays off.	config.json rms_norm_eps 1e-20; b12x_mhc_pre ValueError; host available 27Gi at fail	open
2026-08-31T15:47:55Z	boot	raise KV pin from 8GiB to 12GiB. Keep seqs=2 and MHC off	Engine said 1M needs 11.04 GiB. 8GiB estimates max len 289024. After weights CUDA reported 110.59 GiB free so 12GiB is inside the remaining pool.	kv_cache_utils.py ValueError 11.04 GiB needed vs 8.0 GiB pin	open
2026-08-31T15:57:11Z	boot	API up max_model_len=1048576. KV pool 1250741 tokens 1.19x at 1M. Text smoke ok	12GiB pin. seqs=2. MHC off. Host available 8.6Gi after smoke. Do not raise pin or seqs.	kv_cache_utils GPU KV cache size 1250741; curl hello 10 completion tokens	ready
2026-08-31T16:03:39Z	encode	defaults now 1048576, 12GiB KV, DSpark-6, MHC off, seqs=2. lint pass. pushed hillclimb branch	measured on this lab. 200k needle missed. do not claim 1M retrieval in the X post.	commit on dsv4-flash-vision-vllm-hillclimb; recipe-lint result=pass	pushed
